,job_title,company,job_location,country,location_type,skills,job_link,employment_type
0,"SPECIALIST, DATA ANALYTICS",AT&T,"Hyderabad, Telangana",India,Domestic,"['risk management', 'communication', 'leadership', 'power bi', 'data lineage', 'data analysis', 'hadoop', 'orm', 'bi', 'cross-functional teams', 'tableau', 'sql', 'change management', 'ann', 'https', 'js', 'go', 'client engagement', 'data integration', 'r', 'collaboration', 'azure', 'cli', 'os', 'sa', 'ar', 'ide', 'python', 'machine learning', 'defi', 'business intelligence', 'ip', 'nat', 'http', 'ai', 'presentation design', 'data warehousing', 'base']",https://www.indeed.co.in/rc/clk?jk=2567a216d4af7021&fccid=25b5166547bbf543&vjs=3,Internship
1,Data scientist,ICICI Prudential Life,"Mumbai, Maharashtra",India,Domestic,"['clustering', 'data analysis', 'exploratory data analysis', 'orm', 'bi', 'https', 'js', 'go', 'regression', 'vr', 'r', 'os', 'sa', 'classification', 'ar', 'machine learning', 'ip', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=442ad7cc38a6f7b8&fccid=254a090653692c9b&vjs=3,Full-time
2,Data scientist - Lead,ICICI Prudential Life,"Mumbai, Maharashtra",India,Domestic,"['clustering', 'data analysis', 'exploratory data analysis', 'orm', 'bi', 'https', 'js', 'go', 'regression', 'r', 'os', 'sa', 'classification', 'ar', 'machine learning', 'ip', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=e0fe53f38f84e7bd&fccid=254a090653692c9b&vjs=3,Temporary
3,Bot NLP Analyst,TMI Group IN,"Hyderabad, Telangana",India,Domestic,"['cd', 'orm', 'bi', 'https', 'performance metrics', 'js', 'go', 'research', 'r', 'cap', 'cli', 'os', 'sa', 'ar', 'gui', 'nlp', 'ide', 'natural language processing', 'machine learning', 'vm', 'defi', 'ip', 'nat', 'http', 'ai', 'artificial intelligence', 'base']",https://www.indeed.co.in/rc/clk?jk=363b96425a82d12d&fccid=68d10d8c57f0b648&vjs=3,Internship
4,Senior Data Scientist,Shairu Gems Diamonds PVT.LTD.,"Surat, Gujarat",India,Domestic,"['orm', 'bi', 'ann', 'https', 'js', 'go', 'r', 'excel', 'os', 'sa', 'ar', 'ide', 'python', 'machine learning', 'microsoft excel', 'http', 'ai']",https://www.indeed.co.in/company/Shairu-Gems-Diamonds-PVT.LTD./jobs/Senior-Data-Scientist-215ece39050fb3f5?fccid=218a357af53033aa&vjs=3,Contract
5,Data Scientist - Vice President,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",India,Domestic,"['leadership', 'aws', 'big data', 'security', 'deep learning', 'bi', 'sql', 'pyspark', 'data security', 'a/b testing', 'https', 'js', 'problem solving', 'go', 'research', 'data visualization', 'r', 'excel', 'cap', 'azure', 'diversity and inclusion', 'cli', 'os', 'sa', 'ar', 'nlp', 'ide', 'python', 'machine learning', 'ml', 'spark', 'ip', 'nat', 'http', 'rust', 'ai', 'artificial intelligence', 'base']",https://www.indeed.co.in/rc/clk?jk=4c1d69deeb7afbaa&fccid=c46d0116f6e69eae&vjs=3,Internship
6,Senior Specialist - Data Science,Fidelity International,"Gurgaon, Haryana",India,Domestic,"['clustering', 'stakeholder management', 'scikit-learn', 'marketing', 'coaching', 'cd', 'aws', 'pytorch', 'deep learning', 'orm', 'bi', 'mlops', 'customer service', 'sql', 'ann', 'https', 'js', 'go', 'regression', 'r', 'collaboration', 'cap', 'sales', 'azure', 'training', 'cli', 'customer insights', 'salesforce', 'os', 'sa', 'classification', 'ar', 'san', 'mentoring', 'gui', 'nlp', 'ide', 'machine learning', 'ml', 'defi', 'ip', 'sla', 'dl', 'nat', 'http', 'tensorflow', 'ai', 'artificial intelligence', 'base']",https://www.indeed.co.in/rc/clk?jk=4d05c4cd8acab8fd&fccid=b968b58ad5fb8d16&vjs=3,Contract
7,Data Analyst,Growth Hub Consultants,"New Delhi, Delhi",India,Domestic,"['communication', 'data analysis', 'orm', 'bi', 'sql', 'java', 'pd', 'https', 'js', 'r', 'excel', 'os', 'sa', 'ar', 'data mining', 'javascript', 'ide', 'project management', 'kpi', 'ip', 'sla', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=e21681272008d7ce&fccid=49b7b2ce845ef5d7&vjs=3,Internship
8,SaT_DnA_Manager (Data Science),EY,"Bengaluru, Karnataka",India,Domestic,"['marketing', 'communication', 'coaching', 'leadership', 'big data', 'data analysis', 'deep learning', 'orm', 'bi', 'presentation skills', 'software development life cycle', 'sql', 'mr', 'api', 'https', 'js', 'problem solving', 'go', 'regression', 'sdlc', 'research', 'data visualization', 'r', 'excel', 'cap', 'sales', 'azure', 'automation', 'interpersonal skills', 'cli', 'os', 'sa', 'ar', 'gui', 'critical thinking', 'ide', 'natural language processing', 'python', 'machine learning', 'defi', 'kpi', 'ip', 'dl', 'nat', 'http', 'rust', 'ai']",https://www.indeed.co.in/rc/clk?jk=60575848728e2ef5&fccid=1544766d4c2915b0&vjs=3,Part-time
9,Senior Data Scientist,AT&T,"Bengaluru, Karnataka",India,Domestic,"['communication', 'unsupervised learning', 'automl', 'reinforcement learning', 'data analysis', 'pytorch', 'exploratory data analysis', 'deep learning', 'orm', 'bi', 'knowledge graphs', 'sql', 'pandas', 'supervised learning', 'ann', 'https', 'js', 'go', 'r', 'computer vision', 'feature engineering', 'training', 'keras', 'os', 'sa', 'ar', 'monitoring', 'ide', 'natural language processing', 'deep reinforcement learning', 'python', 'ml', 'defi', 'kpi', 'ip', 'sla', 'nat', 'http', 'tensorflow', 'ai']",https://www.indeed.co.in/rc/clk?jk=2e05e0ea2fb79de1&fccid=25b5166547bbf543&vjs=3,Part-time
10,Senior Data Scientist,Goodtech Mind,"Kolkata, West Bengal",India,Domestic,"['clustering', 'marketing', 'leadership', 'deep learning', 'orm', 'bi', 'xgboost', 'https', 'js', 'go', 'regression', 'research', 'r', 'cli', 'os', 'sa', 'svm', 'ar', 'monitoring', 'ide', 'python', 'machine learning', 'vm', 'ml', 'dimensionality reduction', 'ip', 'nat', 'http', 'ai', 'base']",https://www.indeed.co.in/company/Goodtech-Mind/jobs/Senior-Data-Scientist-dec7b9e38b7dea41?fccid=84311b561335f79f&vjs=3,Contract
11,Big Data Engineer (ETL),data.ai,"Hyderabad, Telangana",India,Domestic,"['aws', 'big data', 'etl', 'orm', 'bi', 'sql', 'java', 'apache spark', 'api', 'ann', 'https', 'linux', 'js', 'go', 'research', 'data integration', 'r', 'excel', 'git', 'azure', 'cli', 'os', 'ar', 'ide', 'python', 'elasticsearch', 'spark', 'business intelligence', 'ip', 'operating system', 'dl', 'nat', 'creativity', 'http', 'rust', 'ai', 'artificial intelligence', 'base']",https://www.indeed.co.in/rc/clk?jk=8e89a601d1a63e82&fccid=6a918ba2c69a0390&vjs=3,Part-time
12,Data Science - Associate,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",India,Domestic,"['aws', 'subversion', 'big data', 'analytical skills', 'hadoop', 'bi', 'sql', 'pyspark', 'rdbms', 'gcp', 'https', 'js', 'go', 'research', 'dbms', 'r', 'excel', 'cap', 'git', 'azure', 'diversity and inclusion', 'cli', 'os', 'sa', 'ar', 'version control', 'data pipeline', 'ide', 'python', 'machine learning', 'defi', 'spark', 'ip', 'sla', 'dl', 'nat', 'http']",https://www.indeed.co.in/rc/clk?jk=f3a08b1af55cb288&fccid=c46d0116f6e69eae&vjs=3,Contract
13,Machine Learning Engineer - Computer Vision Trainer,Agmay Technologies Pvt Ltd,"Hyderabad, Telangana",India,Domestic,"['pytorch', 'deep learning', 'bi', 'mlops', 'cv', 'https', 'js', 'go', 'r', 'computer vision', 'cad', 'sa', 'ar', 'ide', 'python', 'machine learning', 'ml', 'ip', 'sla', 'dl', 'http', 'tensorflow', 'ai']",https://www.indeed.co.in/company/Epigraph-Enterprises/jobs/Machine-Learning-Engineer-dbf4418b6c45f78e?fccid=10b1963d0a6bb8e6&vjs=3,Temporary
